"","Município","0 a 2","3 a 5","6 a 7","8 a 10","Ignorado","Total","Ano"
"58409","312675 FRANCISCOPOLIS",0,0,2,47,3,52,"2020"
"58410","312680 FREI GASPAR",0,0,1,87,2,90,"2020"
"58411","312690 FREI INOCENCIO",0,0,0,107,3,110,"2020"
"58412","312695 FREI LAGONEGRO",0,0,0,46,0,46,"2020"
"58413","312700 FRONTEIRA",0,0,2,124,0,126,"2020"
"58414","312705 FRONTEIRA DOS VALES",0,0,2,46,0,48,"2020"
"58415","312707 FRUTA DE LEITE",0,0,0,6,39,45,"2020"
"58416","312710 FRUTAL",2,0,8,671,1,682,"2020"
"58417","312720 FUNILANDIA",0,0,0,55,0,55,"2020"
"58418","312730 GALILEIA",1,0,5,84,6,96,"2020"
"58419","312733 GAMELEIRAS",0,0,2,13,50,65,"2020"
"58420","312735 GLAUCILANDIA",0,0,0,20,2,22,"2020"
"58421","312737 GOIABEIRA",0,1,1,43,0,45,"2020"
"58422","312738 GOIANA",0,0,1,29,0,30,"2020"
"58423","312740 GONCALVES",0,0,0,45,0,45,"2020"
"58424","312750 GONZAGA",0,1,1,67,2,71,"2020"
"58425","312760 GOUVEIA",0,1,4,119,0,124,"2020"
"58426","312770 GOVERNADOR VALADARES",12,6,35,3439,49,3541,"2020"
"58427","312780 GRAO MOGOL",0,0,4,119,30,153,"2020"
"58428","312790 GRUPIARA",0,0,0,8,0,8,"2020"
"58429","312800 GUANHAES",5,2,11,422,0,440,"2020"
"58430","312810 GUAPE",1,0,3,140,0,144,"2020"
"58431","312820 GUARACIABA",0,0,0,71,1,72,"2020"
"58432","312825 GUARACIAMA",0,0,1,56,1,58,"2020"
"58433","312830 GUARANESIA",0,1,0,225,0,226,"2020"
"58434","312840 GUARANI",1,2,0,77,1,81,"2020"
"58435","312850 GUARARA",0,0,0,37,0,37,"2020"
"58436","312860 GUARDA-MOR",0,0,0,57,1,58,"2020"
"58437","312870 GUAXUPE",3,3,6,502,0,514,"2020"
"58438","312880 GUIDOVAL",0,0,0,95,1,96,"2020"
"58439","312890 GUIMARANIA",0,0,1,109,0,110,"2020"
"58440","312900 GUIRICEMA",0,0,1,58,0,59,"2020"
"58441","312910 GURINHATA",0,0,0,33,0,33,"2020"
"58442","312920 HELIODORA",0,0,0,67,0,67,"2020"
"58443","312930 IAPU",0,0,0,106,1,107,"2020"
"58444","312940 IBERTIOGA",1,0,1,61,1,64,"2020"
"58445","312950 IBIA",2,1,1,283,2,289,"2020"
"58446","312960 IBIAI",0,1,2,89,1,93,"2020"
"58447","312965 IBIRACATU",0,0,1,56,1,58,"2020"
"58448","312970 IBIRACI",1,1,4,134,0,140,"2020"
"58449","312980 IBIRITE",9,8,30,2328,10,2385,"2020"
"58450","312990 IBITIURA DE MINAS",0,0,0,26,1,27,"2020"
"58451","313000 IBITURUNA",0,1,0,28,0,29,"2020"
"58452","313005 ICARAI DE MINAS",0,0,4,81,0,85,"2020"
"58453","313010 IGARAPE",2,1,9,569,3,584,"2020"
"58454","313020 IGARATINGA",0,0,2,128,0,130,"2020"
"58455","313030 IGUATAMA",0,0,2,71,0,73,"2020"
"58456","313040 IJACI",0,0,0,72,0,72,"2020"
"58457","313050 ILICINEA",0,1,1,146,1,149,"2020"
"58458","313055 IMBE DE MINAS",0,0,2,85,0,87,"2020"
"58459","313060 INCONFIDENTES",0,0,0,62,1,63,"2020"
"58460","313065 INDAIABIRA",0,1,0,83,0,84,"2020"
"58461","313070 INDIANOPOLIS",0,0,1,57,0,58,"2020"
"58462","313080 INGAI",0,0,1,32,0,33,"2020"
"58463","313090 INHAPIM",2,1,1,238,1,243,"2020"
"58464","313100 INHAUMA",0,0,0,57,0,57,"2020"
"58465","313110 INIMUTABA",1,1,5,75,0,82,"2020"
"58466","313115 IPABA",0,1,3,218,3,225,"2020"
"58467","313120 IPANEMA",1,1,1,192,1,196,"2020"
"58468","313130 IPATINGA",7,8,34,2700,13,2762,"2020"
"58469","313140 IPIACU",0,0,0,42,1,43,"2020"
"58470","313150 IPUIUNA",0,1,0,80,0,81,"2020"
"58471","313160 IRAI DE MINAS",0,1,2,106,0,109,"2020"
"58472","313170 ITABIRA",12,4,11,1301,5,1333,"2020"
"58473","313180 ITABIRINHA",0,1,1,142,0,144,"2020"
"58474","313190 ITABIRITO",1,1,12,735,1,750,"2020"
"58475","313200 ITACAMBIRA",0,0,1,31,1,33,"2020"
"58476","313210 ITACARAMBI",2,1,2,160,60,225,"2020"
"58477","313220 ITAGUARA",0,1,0,149,2,152,"2020"
"58478","313230 ITAIPE",1,0,1,156,2,160,"2020"
"58479","313240 ITAJUBA",2,0,2,1052,5,1061,"2020"
"58480","313250 ITAMARANDIBA",1,1,3,437,0,442,"2020"
"58481","313260 ITAMARATI DE MINAS",0,1,0,49,0,50,"2020"
"58482","313270 ITAMBACURI",1,1,9,284,6,301,"2020"
"58483","313280 ITAMBE DO MATO DENTRO",0,0,0,29,0,29,"2020"
"58484","313290 ITAMOGI",0,2,2,100,0,104,"2020"
"58485","313300 ITAMONTE",0,0,2,161,0,163,"2020"
"58486","313310 ITANHANDU",0,0,1,167,0,168,"2020"
"58487","313320 ITANHOMI",0,0,0,142,1,143,"2020"
"58488","313330 ITAOBIM",1,2,1,228,0,232,"2020"
"58489","313340 ITAPAGIPE",1,0,1,124,0,126,"2020"
"58490","313350 ITAPECERICA",1,0,3,184,1,189,"2020"
"58491","313360 ITAPEVA",0,2,1,137,0,140,"2020"
"58492","313370 ITATIAIUCU",0,1,1,141,0,143,"2020"
"58493","313375 ITAU DE MINAS",1,2,3,137,0,143,"2020"
"58494","313380 ITAUNA",1,3,5,1028,3,1040,"2020"
"58495","313390 ITAVERAVA",0,0,0,47,0,47,"2020"
"58496","313400 ITINGA",1,0,4,144,1,150,"2020"
"58497","313410 ITUETA",0,0,2,72,0,74,"2020"
"58498","313420 ITUIUTABA",3,3,7,1037,4,1054,"2020"
"58499","313430 ITUMIRIM",0,0,0,62,0,62,"2020"
"58500","313440 ITURAMA",1,0,1,473,1,476,"2020"
"58501","313450 ITUTINGA",1,0,0,58,0,59,"2020"
"58502","313460 JABOTICATUBAS",0,0,2,209,3,214,"2020"
"58503","313470 JACINTO",0,0,12,108,0,120,"2020"
"58504","313480 JACUI",0,0,0,86,1,87,"2020"
"58505","313490 JACUTINGA",0,1,0,287,0,288,"2020"
"58506","313500 JAGUARACU",0,0,1,40,0,41,"2020"
"58507","313505 JAIBA",0,1,9,531,39,580,"2020"
"58508","313507 JAMPRUCA",1,0,1,62,3,67,"2020"
"58509","313510 JANAUBA",1,1,15,1053,1,1071,"2020"
"58510","313520 JANUARIA",0,1,1,396,462,860,"2020"
"58511","313530 JAPARAIBA",0,0,0,46,0,46,"2020"
"58512","313535 JAPONVAR",0,1,2,95,0,98,"2020"
"58513","313540 JECEABA",0,0,0,77,0,77,"2020"
"58514","313545 JENIPAPO DE MINAS",0,0,1,79,0,80,"2020"
"58515","313550 JEQUERI",1,0,1,120,4,126,"2020"
"58516","313560 JEQUITAI",0,0,2,68,1,71,"2020"
"58517","313570 JEQUITIBA",1,0,0,55,0,56,"2020"
"58518","313580 JEQUITINHONHA",2,2,2,223,2,231,"2020"
"58519","313590 JESUANIA",1,0,0,38,0,39,"2020"
"58520","313600 JOAIMA",1,0,2,173,2,178,"2020"
"58521","313610 JOANESIA",0,0,0,36,1,37,"2020"
"58522","313620 JOAO MONLEVADE",0,3,14,842,3,862,"2020"
"58523","313630 JOAO PINHEIRO",0,3,8,665,3,679,"2020"
"58524","313640 JOAQUIM FELICIO",0,0,4,30,0,34,"2020"
"58525","313650 JORDANIA",2,1,4,103,0,110,"2020"
"58526","313652 JOSE GONCALVES DE MINAS",0,0,2,46,0,48,"2020"
"58527","313655 JOSE RAYDAN",0,1,0,49,0,50,"2020"
"58528","313657 JOSENOPOLIS",0,0,0,14,28,42,"2020"
"58529","313660 NOVA UNIAO",0,2,1,69,1,73,"2020"
"58530","313665 JUATUBA",2,1,5,407,2,417,"2020"
"58531","313670 JUIZ DE FORA",13,23,74,5913,20,6043,"2020"
"58532","313680 JURAMENTO",0,0,0,38,0,38,"2020"
"58533","313690 JURUAIA",0,1,5,158,1,165,"2020"
"58534","313695 JUVENILIA",1,0,0,22,43,66,"2020"
"58535","313700 LADAINHA",0,2,3,170,2,177,"2020"
"58536","313710 LAGAMAR",1,0,0,54,1,56,"2020"
"58537","313720 LAGOA DA PRATA",0,5,29,589,1,624,"2020"
"58538","313730 LAGOA DOS PATOS",1,1,0,43,0,45,"2020"
"58539","313740 LAGOA DOURADA",0,0,1,150,0,151,"2020"
"58540","313750 LAGOA FORMOSA",1,1,1,195,0,198,"2020"
"58541","313753 LAGOA GRANDE",0,0,0,89,0,89,"2020"
"58542","313760 LAGOA SANTA",3,2,9,763,11,788,"2020"
"58543","313770 LAJINHA",0,1,4,327,2,334,"2020"
"58544","313780 LAMBARI",0,0,1,213,0,214,"2020"
"58545","313790 LAMIM",0,0,1,23,0,24,"2020"
"58546","313800 LARANJAL",0,0,0,66,1,67,"2020"
"58547","313810 LASSANCE",0,0,0,68,2,70,"2020"
"58548","313820 LAVRAS",5,3,12,1351,3,1374,"2020"
"58549","313830 LEANDRO FERREIRA",0,0,1,19,0,20,"2020"
"58550","313835 LEME DO PRADO",0,0,0,33,0,33,"2020"
"58551","313840 LEOPOLDINA",1,6,11,563,0,581,"2020"
"58552","313850 LIBERDADE",0,1,1,44,0,46,"2020"
"58553","313860 LIMA DUARTE",1,0,4,165,1,171,"2020"
"58554","313862 LIMEIRA DO OESTE",0,0,0,89,0,89,"2020"
"58555","313865 LONTRA",0,0,0,99,3,102,"2020"
"58556","313867 LUISBURGO",0,0,1,112,0,113,"2020"
"58557","313868 LUISLANDIA",0,0,1,69,0,70,"2020"
"58558","313870 LUMINARIAS",0,0,1,47,0,48,"2020"
"58559","313880 LUZ",2,2,6,153,0,163,"2020"
"58560","313890 MACHACALIS",0,0,0,80,1,81,"2020"
"58561","313900 MACHADO",4,4,4,478,1,491,"2020"
"58562","313910 MADRE DE DEUS DE MINAS",0,0,1,44,0,45,"2020"
"58563","313920 MALACACHETA",0,0,3,218,3,224,"2020"
"58564","313925 MAMONAS",0,0,0,6,48,54,"2020"
"58565","313930 MANGA",5,0,1,42,237,285,"2020"
"58566","313940 MANHUACU",0,1,6,1217,2,1226,"2020"
"58567","313950 MANHUMIRIM",1,1,5,239,15,261,"2020"
"58568","313960 MANTENA",1,0,7,326,1,335,"2020"
"58569","313970 MARAVILHAS",0,0,0,56,0,56,"2020"
"58570","313980 MAR DE ESPANHA",0,1,1,153,2,157,"2020"
"58571","313990 MARIA DA FE",0,0,0,180,0,180,"2020"
"58572","314000 MARIANA",1,5,8,833,6,853,"2020"
"58573","314010 MARILAC",0,0,1,43,1,45,"2020"
"58574","314015 MARIO CAMPOS",0,3,6,186,2,197,"2020"
"58575","314020 MARIPA DE MINAS",0,0,1,29,0,30,"2020"
"58576","314030 MARLIERIA",0,0,0,34,0,34,"2020"
"58577","314040 MARMELOPOLIS",0,0,0,35,0,35,"2020"
"58578","314050 MARTINHO CAMPOS",1,1,0,120,0,122,"2020"
"58579","314053 MARTINS SOARES",0,0,3,124,3,130,"2020"
"58580","314055 MATA VERDE",5,2,2,81,0,90,"2020"
"58581","314060 MATERLANDIA",0,0,1,39,2,42,"2020"
"58582","314070 MATEUS LEME",2,4,7,426,2,441,"2020"
"58583","314080 MATIAS BARBOSA",1,0,0,141,1,143,"2020"
"58584","314085 MATIAS CARDOSO",0,1,1,112,21,135,"2020"
"58585","314090 MATIPO",0,0,1,173,0,174,"2020"
"58586","314100 MATO VERDE",1,0,2,45,100,148,"2020"
"58587","314110 MATOZINHOS",0,2,13,415,3,433,"2020"
"58588","314120 MATUTINA",1,0,0,40,0,41,"2020"
"58589","314130 MEDEIROS",0,0,0,34,0,34,"2020"
"58590","314140 MEDINA",0,2,3,228,0,233,"2020"
"58591","314150 MENDES PIMENTEL",0,0,0,49,0,49,"2020"
"58592","314160 MERCES",0,1,0,92,0,93,"2020"
"58593","314170 MESQUITA",0,0,0,51,1,52,"2020"
"58594","314180 MINAS NOVAS",3,0,1,283,2,289,"2020"
"58595","314190 MINDURI",0,0,1,37,0,38,"2020"
"58596","314200 MIRABELA",0,1,3,156,0,160,"2020"
"58597","314210 MIRADOURO",0,2,3,87,2,94,"2020"
"58598","314220 MIRAI",1,0,2,153,0,156,"2020"
"58599","314225 MIRAVANIA",0,0,0,13,38,51,"2020"
"58600","314230 MOEDA",0,0,0,53,0,53,"2020"
"58601","314240 MOEMA",0,1,4,84,0,89,"2020"
"58602","314250 MONJOLOS",0,0,1,21,0,22,"2020"
"58603","314260 MONSENHOR PAULO",0,0,0,79,0,79,"2020"
"58604","314270 MONTALVANIA",0,0,0,55,158,213,"2020"
"58605","314280 MONTE ALEGRE DE MINAS",0,1,1,164,22,188,"2020"
"58606","314290 MONTE AZUL",0,1,0,30,230,261,"2020"
"58607","314300 MONTE BELO",0,0,0,132,0,132,"2020"
"58608","314310 MONTE CARMELO",1,0,3,530,0,534,"2020"
"58609","314315 MONTE FORMOSO",0,2,1,68,0,71,"2020"
"58610","314320 MONTE SANTO DE MINAS",0,0,0,224,0,224,"2020"
"58611","314330 MONTES CLAROS",15,15,69,5846,33,5978,"2020"
"58612","314340 MONTE SIAO",0,0,1,165,8,174,"2020"
"58613","314345 MONTEZUMA",0,0,1,78,0,79,"2020"
"58614","314350 MORADA NOVA DE MINAS",0,0,1,66,0,67,"2020"
"58615","314360 MORRO DA GARCA",0,0,2,38,0,40,"2020"
"58616","314370 MORRO DO PILAR",0,1,0,28,0,29,"2020"
"58617","314380 MUNHOZ",1,1,0,76,1,79,"2020"
"58618","314390 MURIAE",10,11,12,1183,18,1234,"2020"
"58619","314400 MUTUM",0,0,5,334,7,346,"2020"
"58620","314410 MUZAMBINHO",0,1,4,246,0,251,"2020"
"58621","314420 NACIP RAYDAN",0,0,1,26,1,28,"2020"
"58622","314430 NANUQUE",1,2,20,415,1,439,"2020"
"58623","314435 NAQUE",0,0,1,127,1,129,"2020"
"58624","314437 NATALANDIA",1,0,1,35,1,38,"2020"
"58625","314440 NATERCIA",0,0,0,30,0,30,"2020"
"58626","314450 NAZARENO",0,0,1,83,0,84,"2020"
"58627","314460 NEPOMUCENO",1,1,1,260,1,264,"2020"
"58628","314465 NINHEIRA",0,0,1,77,6,84,"2020"
"58629","314467 NOVA BELEM",0,0,0,48,0,48,"2020"
"58630","314470 NOVA ERA",0,0,3,190,1,194,"2020"
"58631","314480 NOVA LIMA",3,5,33,1332,3,1376,"2020"
"58632","314490 NOVA MODICA",0,0,2,36,1,39,"2020"
"58633","314500 NOVA PONTE",0,1,1,177,0,179,"2020"
"58634","314505 NOVA PORTEIRINHA",0,0,3,85,0,88,"2020"
"58635","314510 NOVA RESENDE",1,0,6,194,0,201,"2020"
"58636","314520 NOVA SERRANA",6,8,30,1757,3,1804,"2020"
"58637","314530 NOVO CRUZEIRO",0,1,3,333,5,342,"2020"
"58638","314535 NOVO ORIENTE DE MINAS",0,0,0,115,7,122,"2020"
"58639","314537 NOVORIZONTE",1,0,0,21,26,48,"2020"
"58640","314540 OLARIA",0,0,1,20,0,21,"2020"
"58641","314545 OLHOS-D'AGUA",0,0,2,86,0,88,"2020"
"58642","314550 OLIMPIO NORONHA",0,0,0,24,0,24,"2020"
"58643","314560 OLIVEIRA",2,1,6,441,0,450,"2020"
"58644","314570 OLIVEIRA FORTES",0,0,0,20,1,21,"2020"
"58645","314580 ONCA DE PITANGUI",0,0,1,23,0,24,"2020"
"58646","314585 ORATORIOS",0,2,1,62,1,66,"2020"
"58647","314587 ORIZANIA",0,0,1,102,0,103,"2020"
"58648","314590 OURO BRANCO",1,1,1,466,2,471,"2020"
"58649","314600 OURO FINO",1,1,6,310,14,332,"2020"
"58650","314610 OURO PRETO",4,8,27,721,7,767,"2020"
"58651","314620 OURO VERDE DE MINAS",0,0,0,98,5,103,"2020"
"58652","314625 PADRE CARVALHO",0,0,0,11,45,56,"2020"
"58653","314630 PADRE PARAISO",2,1,5,262,1,271,"2020"
"58654","314640 PAINEIRAS",0,0,0,33,0,33,"2020"
"58655","314650 PAINS",0,1,1,103,0,105,"2020"
"58656","314655 PAI PEDRO",0,0,1,68,2,71,"2020"
"58657","314660 PAIVA",0,0,0,11,0,11,"2020"
"58658","314670 PALMA",0,0,0,46,1,47,"2020"
"58659","314675 PALMOPOLIS",2,0,1,95,0,98,"2020"
"58660","314690 PAPAGAIOS",0,0,1,179,5,185,"2020"
"58661","314700 PARACATU",2,4,18,1387,6,1417,"2020"
"58662","314710 PARA DE MINAS",3,4,10,1126,3,1146,"2020"
"58663","314720 PARAGUACU",0,2,1,264,1,268,"2020"
"58664","314730 PARAISOPOLIS",1,0,0,176,0,177,"2020"
"58665","314740 PARAOPEBA",0,1,5,274,0,280,"2020"
"58666","314750 PASSABEM",1,0,0,8,0,9,"2020"
"58667","314760 PASSA QUATRO",0,1,6,147,3,157,"2020"
"58668","314770 PASSA TEMPO",0,1,2,54,2,59,"2020"
"58669","314780 PASSA-VINTE",0,0,0,20,0,20,"2020"
"58670","314790 PASSOS",3,5,22,1420,0,1450,"2020"
"58671","314795 PATIS",0,0,2,56,0,58,"2020"
"58672","314800 PATOS DE MINAS",2,4,25,1794,3,1828,"2020"
"58673","314810 PATROCINIO",1,2,7,1253,0,1263,"2020"
"58674","314820 PATROCINIO DO MURIAE",0,1,0,49,0,50,"2020"
"58675","314830 PAULA CANDIDO",0,0,1,108,1,110,"2020"
"58676","314840 PAULISTAS",0,0,0,53,0,53,"2020"
"58677","314850 PAVAO",0,0,1,75,1,77,"2020"
"58678","314860 PECANHA",0,1,2,213,0,216,"2020"
"58679","314870 PEDRA AZUL",1,4,3,292,4,304,"2020"
"58680","314875 PEDRA BONITA",0,1,0,86,0,87,"2020"
"58681","314880 PEDRA DO ANTA",0,0,0,26,0,26,"2020"
"58682","314890 PEDRA DO INDAIA",0,0,3,27,0,30,"2020"
"58683","314900 PEDRA DOURADA",0,0,0,32,0,32,"2020"
"58684","314910 PEDRALVA",0,0,1,113,1,115,"2020"
"58685","314915 PEDRAS DE MARIA DA CRUZ",0,0,0,64,65,129,"2020"
"58686","314920 PEDRINOPOLIS",0,0,0,27,0,27,"2020"
"58687","314930 PEDRO LEOPOLDO",1,2,5,669,6,683,"2020"
"58688","314940 PEDRO TEIXEIRA",0,0,0,13,0,13,"2020"
"58689","314950 PEQUERI",0,0,0,33,0,33,"2020"
"58690","314960 PEQUI",0,0,0,36,1,37,"2020"
"58691","314970 PERDIGAO",0,1,13,163,1,178,"2020"
"58692","314980 PERDIZES",4,1,3,191,0,199,"2020"
"58693","314990 PERDOES",0,0,0,210,0,210,"2020"
"58694","314995 PERIQUITO",1,2,0,97,3,103,"2020"
"58695","315000 PESCADOR",0,0,1,46,0,47,"2020"
"58696","315010 PIAU",0,0,0,31,0,31,"2020"
"58697","315015 PIEDADE DE CARATINGA",2,2,1,142,0,147,"2020"
"58698","315020 PIEDADE DE PONTE NOVA",0,0,1,50,1,52,"2020"
"58699","315030 PIEDADE DO RIO GRANDE",0,0,0,44,0,44,"2020"
"58700","315040 PIEDADE DOS GERAIS",0,0,1,35,0,36,"2020"
"58701","315050 PIMENTA",0,0,0,60,1,61,"2020"
"58702","315053 PINGO-D'AGUA",0,0,1,67,0,68,"2020"
"58703","315057 PINTOPOLIS",0,0,0,73,1,74,"2020"
"58704","315060 PIRACEMA",1,0,2,50,1,54,"2020"
"58705","315070 PIRAJUBA",0,0,2,71,0,73,"2020"
"58706","315080 PIRANGA",1,0,1,144,0,146,"2020"
"58707","315090 PIRANGUCU",0,0,1,57,0,58,"2020"
"58708","315100 PIRANGUINHO",0,0,2,126,0,128,"2020"
"58709","315110 PIRAPETINGA",0,1,1,151,0,153,"2020"
"58710","315120 PIRAPORA",2,4,6,810,3,825,"2020"
"58711","315130 PIRAUBA",1,0,2,116,0,119,"2020"
"58712","315140 PITANGUI",0,0,11,323,4,338,"2020"
"58713","315150 PIUMHI",0,2,6,433,0,441,"2020"
"58714","315160 PLANURA",0,0,1,114,0,115,"2020"
"58715","315170 POCO FUNDO",0,1,1,172,0,174,"2020"
"58716","315180 POCOS DE CALDAS",6,8,27,1855,10,1906,"2020"
"58717","315190 POCRANE",0,0,1,87,0,88,"2020"
"58718","315200 POMPEU",2,2,10,396,2,412,"2020"
"58719","315210 PONTE NOVA",0,5,5,622,2,634,"2020"
"58720","315213 PONTO CHIQUE",0,1,0,45,3,49,"2020"
"58721","315217 PONTO DOS VOLANTES",0,0,7,125,0,132,"2020"
"58722","315220 PORTEIRINHA",1,2,10,466,0,479,"2020"
"58723","315230 PORTO FIRME",0,1,2,84,1,88,"2020"
"58724","315240 POTE",0,0,6,168,2,176,"2020"
"58725","315250 POUSO ALEGRE",2,5,17,1971,3,1998,"2020"
"58726","315260 POUSO ALTO",0,0,0,74,0,74,"2020"
"58727","315270 PRADOS",0,0,1,103,3,107,"2020"
"58728","315280 PRATA",0,0,2,317,0,319,"2020"
"58729","315290 PRATAPOLIS",0,3,2,74,0,79,"2020"
"58730","315300 PRATINHA",1,1,1,30,0,33,"2020"
"58731","315310 PRESIDENTE BERNARDES",0,0,3,35,1,39,"2020"
"58732","315320 PRESIDENTE JUSCELINO",0,0,0,25,0,25,"2020"
"58733","315330 PRESIDENTE KUBITSCHEK",0,0,2,39,0,41,"2020"
"58734","315340 PRESIDENTE OLEGARIO",0,0,4,149,0,153,"2020"
"58735","315350 ALTO JEQUITIBA",0,0,1,99,2,102,"2020"
"58736","315360 PRUDENTE DE MORAIS",2,1,0,147,3,153,"2020"
"58737","315370 QUARTEL GERAL",0,0,1,26,0,27,"2020"
"58738","315380 QUELUZITO",0,0,0,13,0,13,"2020"
"58739","315390 RAPOSOS",1,3,3,205,0,212,"2020"
"58740","315400 RAUL SOARES",0,2,2,238,0,242,"2020"
"58741","315410 RECREIO",0,1,1,74,0,76,"2020"
"58742","315415 REDUTO",0,0,1,115,2,118,"2020"
"58743","315420 RESENDE COSTA",1,1,0,120,0,122,"2020"
"58744","315430 RESPLENDOR",0,1,3,215,0,219,"2020"
"58745","315440 RESSAQUINHA",0,0,0,46,0,46,"2020"
"58746","315445 RIACHINHO",0,2,2,78,5,87,"2020"
"58747","315450 RIACHO DOS MACHADOS",0,0,2,119,1,122,"2020"
"58748","315460 RIBEIRAO DAS NEVES",11,28,73,4189,31,4332,"2020"
"58749","315470 RIBEIRAO VERMELHO",0,1,0,39,0,40,"2020"
"58750","315480 RIO ACIMA",0,0,1,129,1,131,"2020"
"58751","315490 RIO CASCA",0,0,1,160,1,162,"2020"
"58752","315500 RIO DOCE",0,0,0,24,0,24,"2020"
"58753","315510 RIO DO PRADO",1,1,3,50,0,55,"2020"
"58754","315520 RIO ESPERA",0,1,0,54,1,56,"2020"
"58755","315530 RIO MANSO",0,0,1,44,1,46,"2020"
"58756","315540 RIO NOVO",0,0,0,89,0,89,"2020"
"58757","315550 RIO PARANAIBA",0,0,3,218,0,221,"2020"
"58758","315560 RIO PARDO DE MINAS",1,1,6,384,2,394,"2020"
"58759","315570 RIO PIRACICABA",1,0,2,118,2,123,"2020"
"58760","315580 RIO POMBA",1,0,3,171,3,178,"2020"
"58761","315590 RIO PRETO",0,0,1,44,2,47,"2020"
"58762","315600 RIO VERMELHO",1,0,6,130,0,137,"2020"
"58763","315610 RITAPOLIS",0,0,0,51,0,51,"2020"
"58764","315620 ROCHEDO DE MINAS",0,0,1,32,1,34,"2020"
"58765","315630 RODEIRO",0,2,1,117,0,120,"2020"
"58766","315640 ROMARIA",0,0,0,43,0,43,"2020"
"58767","315645 ROSARIO DA LIMEIRA",0,0,0,45,3,48,"2020"
"58768","315650 RUBELITA",0,0,0,14,41,55,"2020"
"58769","315660 RUBIM",1,0,0,127,1,129,"2020"
"58770","315670 SABARA",2,7,33,1568,11,1621,"2020"
"58771","315680 SABINOPOLIS",0,1,5,162,0,168,"2020"
"58772","315690 SACRAMENTO",0,0,3,298,0,301,"2020"
"58773","315700 SALINAS",1,0,1,114,395,511,"2020"
"58774","315710 SALTO DA DIVISA",0,0,2,59,0,61,"2020"
"58775","315720 SANTA BARBARA",0,2,4,393,5,404,"2020"
"58776","315725 SANTA BARBARA DO LESTE",1,0,0,122,2,125,"2020"
"58777","315727 SANTA BARBARA DO MONTE VERDE",0,0,0,39,0,39,"2020"
"58778","315730 SANTA BARBARA DO TUGURIO",0,0,0,28,0,28,"2020"
"58779","315733 SANTA CRUZ DE MINAS",0,0,0,98,1,99,"2020"
"58780","315737 SANTA CRUZ DE SALINAS",0,0,1,18,32,51,"2020"
"58781","315740 SANTA CRUZ DO ESCALVADO",0,0,0,40,1,41,"2020"
"58782","315750 SANTA EFIGENIA DE MINAS",2,0,0,51,3,56,"2020"
"58783","315760 SANTA FE DE MINAS",0,0,0,42,0,42,"2020"
"58784","315765 SANTA HELENA DE MINAS",0,1,1,77,10,89,"2020"
"58785","315770 SANTA JULIANA",4,0,1,200,0,205,"2020"
"58786","315780 SANTA LUZIA",13,8,39,2881,14,2955,"2020"
"58787","315790 SANTA MARGARIDA",0,0,1,235,1,237,"2020"
"58788","315800 SANTA MARIA DE ITABIRA",0,0,2,115,0,117,"2020"
"58789","315810 SANTA MARIA DO SALTO",0,0,1,45,0,46,"2020"
"58790","315820 SANTA MARIA DO SUACUI",0,0,3,154,0,157,"2020"
"58791","315830 SANTANA DA VARGEM",0,0,1,74,0,75,"2020"
"58792","315840 SANTANA DE CATAGUASES",0,0,3,21,1,25,"2020"
"58793","315850 SANTANA DE PIRAPAMA",1,0,1,52,0,54,"2020"
"58794","315860 SANTANA DO DESERTO",0,0,1,26,0,27,"2020"
"58795","315870 SANTANA DO GARAMBEU",0,0,0,21,1,22,"2020"
"58796","315880 SANTANA DO JACARE",0,0,0,41,0,41,"2020"
"58797","315890 SANTANA DO MANHUACU",1,2,3,143,1,150,"2020"
"58798","315895 SANTANA DO PARAISO",0,2,7,694,3,706,"2020"
"58799","315900 SANTANA DO RIACHO",0,1,1,50,1,53,"2020"
"58800","315910 SANTANA DOS MONTES",0,0,0,31,0,31,"2020"
"58801","315920 SANTA RITA DE CALDAS",0,0,0,91,1,92,"2020"
"58802","315930 SANTA RITA DE JACUTINGA",0,1,1,40,0,42,"2020"
"58803","315935 SANTA RITA DE MINAS",0,0,0,108,0,108,"2020"
"58804","315940 SANTA RITA DE IBITIPOCA",0,0,1,28,0,29,"2020"
"58805","315950 SANTA RITA DO ITUETO",0,1,5,83,0,89,"2020"
"58806","315960 SANTA RITA DO SAPUCAI",1,1,3,460,7,472,"2020"
"58807","315970 SANTA ROSA DA SERRA",0,1,0,37,0,38,"2020"
"58808","315980 SANTA VITORIA",1,0,0,216,0,217,"2020"
"58809","315990 SANTO ANTONIO DO AMPARO",0,1,0,175,2,178,"2020"
"58810","316000 SANTO ANTONIO DO AVENTUREIRO",0,0,0,28,0,28,"2020"
"58811","316010 SANTO ANTONIO DO GRAMA",0,0,0,43,1,44,"2020"
"58812","316020 SANTO ANTONIO DO ITAMBE",0,0,0,38,1,39,"2020"
"58813","316030 SANTO ANTONIO DO JACINTO",3,1,7,105,3,119,"2020"
"58814","316040 SANTO ANTONIO DO MONTE",3,9,64,281,0,357,"2020"
"58815","316045 SANTO ANTONIO DO RETIRO",1,0,1,60,18,80,"2020"
"58816","316050 SANTO ANTONIO DO RIO ABAIXO",0,0,0,15,0,15,"2020"
"58817","316060 SANTO HIPOLITO",0,0,1,24,0,25,"2020"
"58818","316070 SANTOS DUMONT",1,3,6,428,2,440,"2020"
"58819","316080 SAO BENTO ABADE",1,0,2,76,1,80,"2020"
